"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)"
"Mixed Sweet Blend","MSW","2021-07-05","MSW-632-3","Edmonton","818.5"
"Mixed Sweet Blend","MSW","2021-06-01","MSW-804","Edmonton","826.6"
"Mixed Sweet Blend","MSW","2021-05-02","MSW-879","Edmonton","815.2"
"Mixed Sweet Blend","MSW","2021-04-06","MSW-698","Edmonton","820"
"Mixed Sweet Blend","MSW","2021-03-03","MSW-777","Edmonton","818.5"
"Mixed Sweet Blend","MSW","2021-02-05","MSW-644","Edmonton","828.7"
"Mixed Sweet Blend","MSW","2021-01-15","MSW-846","Edmonton","815.6"
"Mixed Sweet Blend","MSW","2020-12-14","MSW-729","Edmonton","817.1"
"Mixed Sweet Blend","MSW","2020-11-19","MSW-756","Edmonton","817.1"
"Mixed Sweet Blend","MSW","2020-10-15","MSW-909","Edmonton","820.8"
"Mixed Sweet Blend","MSW","2020-09-11","MSW-830","Edmonton","818.1"
"Mixed Sweet Blend","MSW","2020-08-03","MSW-699","Edmonton","808.6"
"Mixed Sweet Blend","MSW","2020-07-07","MSW-871","Edmonton","809"
"Mixed Sweet Blend","MSW","2020-06-10","MSW-744","Edmonton","808.8"
"Mixed Sweet Blend","MSW","2020-03-03","MSW-678","Edmonton","823.4"
"Mixed Sweet Blend","MSW","2020-02-08","MSW-612","Edmonton","828"
"Mixed Sweet Blend","MSW","2020-01-10","MSW-950","Edmonton","814.4"
"Mixed Sweet Blend","MSW","2019-12-04","MSW-654","Edmonton","816.8"
"Mixed Sweet Blend","MSW","2019-11-06","MSW-844","Edmonton","819.7"
"Mixed Sweet Blend","MSW","2019-10-09","MSW-894","Edmonton","812.5"
"Mixed Sweet Blend","MSW","2019-09-03","MSW-955","Edmonton","811.1"
"Mixed Sweet Blend","MSW","2019-08-02","MSW-647","Edmonton","811.9"
"Mixed Sweet Blend","MSW","2019-07-07","MSW-781","Edmonton","819.9"
"Mixed Sweet Blend","MSW","2019-06-03","MSW-789","Edmonton","815.7"
"Mixed Sweet Blend","MSW","2019-05-10","MSW-608","Edmonton","810.9"
"Mixed Sweet Blend","MSW","2019-04-02","MSW-784","Edmonton","818.3"
"Mixed Sweet Blend","MSW","2019-03-03","MSW-906","Edmonton","824.4"
"Mixed Sweet Blend","MSW","2019-02-05","MSW-613","Edmonton","819.5"
"Mixed Sweet Blend","MSW","2019-01-02","MSW-658","Edmonton","821.8"
"Mixed Sweet Blend","MSW","2018-12-30","MSW-607","Edmonton","822.1"
"Mixed Sweet Blend","MSW","2018-11-11","MSW-982","Edmonton","822"
"Mixed Sweet Blend","MSW","2018-10-08","MSW-708","Edmonton","821.4"
"Mixed Sweet Blend","MSW","2018-09-07","MSW-834","Edmonton","824.1"
"Mixed Sweet Blend","MSW","2018-08-06","MSW-635","Edmonton","817.8"
"Mixed Sweet Blend","MSW","2018-07-09","MSW-905","Edmonton","815.6"
"Mixed Sweet Blend","MSW","2018-06-07","MSW-964","Edmonton","821.9"
"Mixed Sweet Blend","MSW","2018-05-03","MSW-758","Edmonton","820.9"
"Mixed Sweet Blend","MSW","2018-04-05","MSW-680","Edmonton","815.8"
"Mixed Sweet Blend","MSW","2018-03-07","MSW-681","Edmonton","823.9"
"Mixed Sweet Blend","MSW","2018-02-08","MSW-634","Edmonton","821.2"
